parCodigo,parSiglas,parDenominacion,parColor,rowid
3185,LISTA E EL PODER DE LA UN,LISTA E EL PODER DE LA UNION                                                                        ,D7E4BC,205
3186,LISTA E - EL PODER DE LA ,LISTA E - EL PODER DE LA UNION                                                                      ,D7E4BC,206
3187,EQUIPO CON FUTURO VERDE Y,EQUIPO CON FUTURO VERDE Y BLANCO                                                                    ,00B050,207
3188,LISTA G - EL CAMINO DEL C,LISTA G - EL CAMINO DEL CAMBIO                                                                      ,F2DDDC,208
3189,FRENTE COMPROMISO FEDERAL,FRENTE COMPROMISO FEDERAL A                                                                         ,E46D0A,209
3191,FRENTE POPULAR A         ,FRENTE POPULAR A                                                                                    ,663300,210
3192,A FRENTE RENOVADOR +A15  ,A FRENTE RENOVADOR +A15                                                                             ,663300,211
3193,A FRENTE RENOVADOR +A15  ,A FRENTE RENOVADOR +A15                                                                             ,CCFFCC,212
3199,HACIA EL FRENTE DE IZQUIE,HACIA EL FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                  ,CCFF66,213
3202,IZQUIERDA TRICOLOR       ,IZQUIERDA TRICOLOR                                                                                  ,33CCCC,214
3203,JUJUY UNIDO              ,JUJUY UNIDO                                                                                         ,CCECFF,215
3204,JUNTOS PODEMOS M         ,JUNTOS PODEMOS M                                                                                    ,4D4D4D,216
3205,JUNTOS POR EL CAMBIO     ,JUNTOS POR EL CAMBIO                                                                                ,538ED5,217
3206,JUNTOS POR LA PAMPA      ,JUNTOS POR LA PAMPA                                                                                 ,FF99CC,218
3208,CAMBIA SANTIAGO LETRA A  ,CAMBIA SANTIAGO LETRA A                                                                             ,FFFF00,219
3209,K CELESTE Y BLANCA NESTOR,K CELESTE Y BLANCA NESTOR KIRCHNER                                                                  ,FF9933,220
3210,LO MEJOR ESTA POR VENIR  ,LO MEJOR ESTA POR VENIR                                                                             ,820000,221
3214,D MOVIMIENTO DE UNIDAD   ,D MOVIMIENTO DE UNIDAD                                                                              ,f6ccac,222
3215,LISTA MOVIMIENTO DE UNIDA,LISTA MOVIMIENTO DE UNIDAD PERONISTA U                                                              ,808000,223
3217,LISTA A MOVIMIENTO SOLIDA,LISTA A MOVIMIENTO SOLIDARIO POPULAR                                                                ,17375D,224
3219,"NESTOR VIVE, SOMOS EL PRO","NESTOR VIVE, SOMOS EL PROYECTO                                                                      ",FFFF00,225
3220,LISTA 3NR - NUEVO RADICAL,LISTA 3NR - NUEVO RADICALISMO                                                                       ,CCCC00,226
3221,NUEVA ALTERNATIVA PARA EL,NUEVA ALTERNATIVA PARA EL CAMBIO                                                                    ,CCC0DA,227
3223,NUEVA IZQUIERDA          ,NUEVA IZQUIERDA                                                                                     ,92D050,228
3225,LISTA 1-SOMOS BRANDSEN   ,LISTA 1-SOMOS BRANDSEN                                                                              ,3F3F99,229
3228,PARTICIPACION            ,PARTICIPACION                                                                                       ,dedede,230
3229,PERONISMO PAMPEANO 1-A-2 ,PERONISMO PAMPEANO 1-A-2                                                                            ,B8CCE4,231
3230,LETRA C COMPROMISO PROGRE,LETRA C COMPROMISO PROGRESISTA                                                                      ,CCC0DA,232
3231,LISTA 1 - PROGRESISTAS   ,LISTA 1 - PROGRESISTAS                                                                              ,E6B9B8,233
