vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_mesCodigoCircuito,vot_mesCodigoMesa,vot_mesCodSexo,vot_parCodigo,ordenPartidos,votVotosPartido,votOrdenActa,rowid
04,001,112,0001 ,0037,X,0131,4,31,,486281
04,001,112,0001 ,0037,X,0132,5,9,,486282
04,001,112,0001 ,0037,X,0133,6,10,,486283
04,001,112,0001 ,0037,X,0134,7,4,,486284
04,001,112,0001 ,0037,X,0135,8,99,,486285
04,001,112,0001 ,0037,X,0136,9,0,,486286
04,001,112,0001 ,0037,X,0137,10,13,,486287
04,001,112,0001 ,0037,X,0138,11,51,,486288
04,001,112,0001 ,0038,X,0013,1,0,,486289
04,001,112,0001 ,0038,X,0057,2,0,,486290
04,001,112,0001 ,0038,X,0081,3,0,,486291
04,001,112,0001 ,0038,X,0131,4,27,,486292
04,001,112,0001 ,0038,X,0132,5,15,,486293
04,001,112,0001 ,0038,X,0133,6,9,,486294
04,001,112,0001 ,0038,X,0134,7,4,,486295
04,001,112,0001 ,0038,X,0135,8,120,,486296
04,001,112,0001 ,0038,X,0136,9,1,,486297
04,001,112,0001 ,0038,X,0137,10,13,,486298
04,001,112,0001 ,0038,X,0138,11,49,,486299
04,001,112,0001 ,0039,X,0013,1,1,,486300
04,001,112,0001 ,0039,X,0057,2,1,,486301
04,001,112,0001 ,0039,X,0081,3,2,,486302
04,001,112,0001 ,0039,X,0131,4,27,,486303
04,001,112,0001 ,0039,X,0132,5,14,,486304
04,001,112,0001 ,0039,X,0133,6,7,,486305
04,001,112,0001 ,0039,X,0134,7,2,,486306
04,001,112,0001 ,0039,X,0135,8,132,,486307
04,001,112,0001 ,0039,X,0136,9,0,,486308
04,001,112,0001 ,0039,X,0137,10,13,,486309
04,001,112,0001 ,0039,X,0138,11,41,,486310
04,001,112,0001 ,0040,X,0013,1,2,,486311
04,001,112,0001 ,0040,X,0057,2,1,,486312
04,001,112,0001 ,0040,X,0081,3,1,,486313
04,001,112,0001 ,0040,X,0131,4,34,,486314
04,001,112,0001 ,0040,X,0132,5,17,,486315
04,001,112,0001 ,0040,X,0133,6,8,,486316
04,001,112,0001 ,0040,X,0134,7,3,,486317
04,001,112,0001 ,0040,X,0135,8,108,,486318
04,001,112,0001 ,0040,X,0136,9,1,,486319
04,001,112,0001 ,0040,X,0137,10,13,,486320
04,001,112,0001 ,0040,X,0138,11,46,,486321
04,001,112,0001 ,0041,X,0013,1,0,,486322
04,001,112,0001 ,0041,X,0057,2,1,,486323
04,001,112,0001 ,0041,X,0081,3,1,,486324
04,001,112,0001 ,0041,X,0131,4,32,,486325
04,001,112,0001 ,0041,X,0132,5,8,,486326
04,001,112,0001 ,0041,X,0133,6,5,,486327
04,001,112,0001 ,0041,X,0134,7,2,,486328
04,001,112,0001 ,0041,X,0135,8,107,,486329
04,001,112,0001 ,0041,X,0136,9,4,,486330
04,001,112,0001 ,0041,X,0137,10,9,,486331
04,001,112,0001 ,0041,X,0138,11,39,,486332
04,001,112,0001 ,0042,X,0013,1,2,,486333
04,001,112,0001 ,0042,X,0057,2,0,,486334
04,001,112,0001 ,0042,X,0081,3,1,,486335
04,001,112,0001 ,0042,X,0131,4,29,,486336
04,001,112,0001 ,0042,X,0132,5,18,,486337
04,001,112,0001 ,0042,X,0133,6,4,,486338
04,001,112,0001 ,0042,X,0134,7,1,,486339
04,001,112,0001 ,0042,X,0135,8,110,,486340
04,001,112,0001 ,0042,X,0136,9,2,,486341
04,001,112,0001 ,0042,X,0137,10,14,,486342
04,001,112,0001 ,0042,X,0138,11,48,,486343
04,001,112,0001 ,0043,X,0013,1,0,,486344
04,001,112,0001 ,0043,X,0057,2,1,,486345
04,001,112,0001 ,0043,X,0081,3,2,,486346
04,001,112,0001 ,0043,X,0131,4,33,,486347
04,001,112,0001 ,0043,X,0132,5,13,,486348
04,001,112,0001 ,0043,X,0133,6,5,,486349
04,001,112,0001 ,0043,X,0134,7,2,,486350
04,001,112,0001 ,0043,X,0135,8,100,,486351
04,001,112,0001 ,0043,X,0136,9,0,,486352
04,001,112,0001 ,0043,X,0137,10,16,,486353
