Seccion,Circuito,Escuela,Direccion,votos,Mesa desde, Mesa hasta,Lat,Long
3,37,ESC.PROV.M.FRAGUEIRO,AVENIDA SAN MARTIN 4519,2887,3529,3539,-64.3161380845,-31.1710537605
3,37,I.P.E.M.144-MARIANO MORENO,SALTA 191,2102,3540,3548,-64.3175619713,-31.166715478
3,37,INSTITUTO DEL ESPIRITU SANTO,AV. SAN MARTIN 5109,2826,3549,3559,-64.3220803526,-31.1665995728
3,37,IPEM N° 352,NICANOR CEBALLOS 0,2614,3519,3528,-64.3175619713,-31.166715478
3,38,ESC.PROV. J.MALDONADO,DESIDERIO TORRES 360,2647,3573,3583,-64.2981720001,-31.136236995
3,38,ESCUELA RECONQUISTA,CERRITO 0,1061,3584,3587,-64.2882310001,-31.137853995
3,38,INST SECUNDARIO SALSIPUEDES,AV BELGRANO 178,1351,3567,3572,-64.294770956,-31.1378971291
3,39,ESC.PROV. FRAY M.ESQUIU,PUBLICA 0,45,3588,3588,-63.9780883709,-31.0563601403
3,40,ESC.PROV. D.V.SARSFIELD,SARMIENTO Y VELEZ SARSFIELD  0,2384,3589,3597,-64.3100581007,-31.2372538969
3,40,I.P.E.M. N° 23,SPILIMBERGO 869,2379,3598,3606,-64.3173583226,-31.2277475521
3,40,I.P.E.M. N° 78,COSTANERA LOS CIGARRALES B  750,4024,3607,3621,-64.3058143444,-31.2415773458
3,40,INST.PARROQ.NTA.SRA DE LOURDES,JUAN MILICH 0,2889,3622,3632,-64.3113097765,-31.237065941
3,41,COLEGIO MARYLAND,GUEMES ESQ ALBERTI,1107,3726,3729,-64.2976868251,-31.2880368325
3,41,COLEGIO SAN JOSE,VILLA ALLENDE,3005,3667,3678,-64.2984676448,-31.2905600662
3,41,ESC.PROV. J.DE SAN MARTIN,GOYCOECHEA 150,3536,3654,3666,-64.2973235134,-31.2954758117
3,41,INST GRAL S.MARTIN/17 DE AGOST,25 DE MAYO ESQ. TABLADA 0,7785,3687,3715,-64.2953838069,-31.2927168394
3,41,INSTITUTO NTA.SRA. DE LUJAN,AV.SAN MARTIN 1070,2422,3716,3725,-64.3056018139,-31.3021624658
3,41,INSTITUTO PAULA A.DE SARMIENTO,LAPRIDA/GONZALEZ,1895,3679,3686,-64.2985444551,-31.2971425363
4,42,ESCUELA PROV.M. MORENO,PUBLICA S/N,440,3756,3757,-65.0527317,-30.7943682
4,44,ESC.E. BAVIO,PELLEGRINI 180,3101,3791,3803,-64.8066919979,-30.7261333089
4,44,IPEM 273 M. BELGRANO,PELLEGRINI 445,3034,3820,3832,-64.8092563294,-30.7238944471
4,45,ESC PROV MANUEL BELGRANO,PUBLICA S/N,465,3835,3837,-64.8771898278,-30.672136977
4,46,ESC PROV GRAL SAN MARTIN,PUBLICA S/N,298,3838,3840,-65.0594983027,-30.4828811402
4,47,ESC PROV JOSE MARIA PAZ,PUBLICA S/N,63,3842,3842,-65.2612810082,-30.6621832105
4,48,ESC PROV GRAL SAN MARTIN,RUTA PROVINCIAL N°15 S/N,381,3843,3844,-65.1028058,-31.0157259
1,4A,ESC ALMAFUERTE,CHANETON 390 B° SAN  FERNANDO,1914,187,193,-64.1925754324,-31.4473254297
1,4A,ESC COM R ECHEGOYEN,J I DIAZ 200 B° EJERCITO  ARGENTINO,2193,194,201,-64.1970114712,-31.4456123155
1,4A,ESC ERNESTO BANCALARI,MONTERROSO 4597 B° ARTIGAS,1915,180,186,-64.200448433,-31.4650335098
1,4A,ESC SAN FRANCISCO DE ASIS,GUARDADO 184 B°LAS FLORES,7491,202,229,-64.1975816087,-31.4537833018
1,4B,COL NICOLAS BERROTARAN,ELIAS YOFRE 1095 - B° JARDIN,3521,262,274,-64.1798455966,-31.4505744832
1,4B,ESC ING MASJOAN,P.L.DE CABRERA ESQ.TANTI B°V.  REVOL,2428,252,261,-64.1715986402,-31.4475664954
1,4B,INST EDUC NTRA SEÑORA,INCA MANCO 3450 - B°JARDIN  ESPINOSA,5901,230,251,-64.1748517577,-31.4544307587
1,4C,ESC L SUAREZ DE FIGUEROA,DEFENSA S/N° LA HUERTILLA,1337,275,279,-64.2037910108,-31.4716363836
1,4C,ESC SAN JOSE DE CALASANZ,PIZARRO ESQ. NIVOLI,1903,280,286,-64.1936382609,-31.4767002102
1,4D,COL VILLA EUCARISTICA,CNO A SAN CARLOS KM.5 1/2,1260,287,291,-64.1687142765,-31.4901888069
1,4F,NSC.OSCAR RAUL MALVASIO,MANZANA 49 B° C.OBISPO  ANGELELLI,1152,297,302,-64.1860657432,-31.4962010533
4,50,ESCUELA M. GUEMES,MEDIA NARANJA,640,3846,3848,-64.9314235982,-30.6413535759
4,51,ESCUELA ANTARTIDA ARGENTINA,PUBLICA 0,462,3851,3853,-65.1906047,-30.7668118
4,54,ESC PROV PTE ROQUE SAENZ PEÑA,LIBERTAD 1043,1455,3859,3864,-64.6373578398,-30.7831339259
4,55,ESC.PROV.B.RIVADAVIA,AVDA. MALVINAS ARGENTINAS  0,1615,3866,3873,-65.3854600002,-30.6371999961
4,56,E.N.E.T. N°1,JUAN BAUTISTA ALBERDI 2200,1247,3887,3891,-64.9823930832,-30.8594187908
4,56,ESC NICOLAS AVELLANEDA,DEAN FUNES ESQ CORRIENTES,796,3892,3894,-65.0116118627,-30.8460248778
4,56,ESC.PADRE B.DE LAS CASAS,JOSE IGNACIO PERALTA 249,2060,3875,3882,-64.9868169706,-30.8562228096
4,56,INSTITUTO SANTO DOMINGO,SOTO,1015,3883,3886,-64.9868169706,-30.8562228096
4,57,ESC.PROV.J.J.CASTELLI,PUBLICA 0,458,3895,3896,-65.2378281667,-30.7468712245
1,5A,ELENA LOPEZ LALLANA,AGUSTIN GARZON 5600,2196,349,357,-64.1135058008,-31.4276674112
1,5A,ESC MUNICIPAL A GASTALDI,S JERONIMO 5500/ALMAGRO  COL LOLA,1613,343,348,-64.1150773061,-31.4247885019
1,5B,ESC 9 DE JULIO,JOSE A CABRERA 4717 B°DEAN  FUNES,1574,358,363,-64.1211572085,-31.444325708
1,5C,ESC JUAN M DE PUEYRREDON,ANCASTI 4555 B°EMPALME,2208,389,396,-64.1266464959,-31.4395575198
1,5C,ESC PROVINCIA DE LA RIOJA,JUNIN 3480 B°EMPALME,3526,364,376,-64.1400808163,-31.428503251
1,5C,INST SEC EMPALME GONZALEZ LACA,LAS ARRIAS 4043 B°EMPALME,1370,397,401,-64.2609163028,-31.3129700013
1,5D,ESC CANONIGO PIÑERO,CAMPO LA RIBERA,1293,414,419,-64.1400365039,-31.4079889766
1,5D,ESC MARTIN DE GÜEMES,OBPO CASTELLANOS 256  B°MÜLLER,2003,420,427,-64.1392293186,-31.4129129745
1,5D,IPEM 184-M.FRAGUEIRO,OB.CASTELLANO 955.S.VICENTE,2014,436,443,-64.1398783848,-31.4204915491
1,5E,ESC TTE GRAL P RICCHIERI,BENJAMIN VIEL 2387 - B°V  BUSTOS,2137,444,451,-64.1129969706,-31.4360959784
1,5E,IPEM 136 DR ALFREDO PALACIOS,CALINGASTA 5800 (ESQ  TULUMBA),1305,452,456,-64.1112940462,-31.4408528946
1,5F,ESC M COOPERATIVISMO ARGENTINO,M BRAVO Y PJE.MATHEUB°  RENACIMIENTO,3320,457,468,-64.1217939383,-31.4193843934
1,5G,ESC A F AVALOS,SARGENTO CABRAL 1153 B°SAN  VICENTE,1780,511,517,-64.150115758,-31.4216512023
1,5G,ESC DGO F SARMIENTO,LOPEZ Y PLANES 2253 B°SAN  VICENTE,3046,478,490,-64.1546356776,-31.4205922904
1,5G,ESC MARIA IGNACIA NAVARRO DE L,CORRIENTES 2006 B°SAN  VICENTE,2209,502,510,-64.1580707668,-31.4259257479
1,5G,ESC PTE RIVADAVIA,AGUSTIN GARZON 1563 B°SAN  VICENTE,2222,491,501,-64.1642297706,-31.4239722802
1,5G,ESC SANTA MARGARITA DE CORTONA,LOPEZ Y PLANES 2936 B°SAN  VICENTE,2249,469,477,-64.1453106704,-31.422191714
1,5H,ESC. MADRE MARIA DEL TRANSITO,MANZANA 7. B° VILLA BOEDO,1202,518,522,-64.1079492971,-31.430106864
1,5I,ESCUELA HEROES DE MALVINAS,CALLE PUBLICA S/N (CNO VILLA  POSSE),1105,523,526,-64.1085274028,-31.4438047984
1,6C,ESC NORMAL GARZON AGULLA,VIAMONTE 150 B°GRAL PAZ,4879,568,586,-64.1645746463,-31.4139198801
1,6C,ESC RAMON J CARCANO,VIAMONTE 446 B°GRAL.PAZ,3583,554,567,-64.1655928741,-31.410785129
1,6D,ESC GABRIELA MISTRAL,LEONOR DE TEJEDA B°JUNIORS  1353,2530,587,596,-64.1652468845,-31.4184447323
1,6F,ESC R GÜIRALDES,24 DE SETIEMBRE 2400  B°YAPEYU,3102,613,624,-64.1527973844,-31.4102886413
6,73,ESC.PROV. A.ARGENTINA,CORDOBA ESQ ANTARTIDA  ARGENTINA,923,3984,3987,-63.1638,-32.2001128
6,74,ESC.PROV.D.V.SARSFIELD,RIVADAVIA 410,1029,3993,3996,-63.503903963,-32.3608640672
6,74,INST. SEC. COM. SAN JOSE,ARROYO CABRAL,1314,3988,3992,-63.503903963,-32.3608640672
6,75,ESC.PROV.GRAL SAN MARTIN,25 DE MAYO 55,772,3997,3999,-63.2431809,-32.6612119
6,76,ESC PROV M R DE LA TORRE,DIESCISEIS 582,770,4000,4002,-63.2785101052,-33.0782378315
6,77,ESC.PROV. 12 DE OCTUBRE,ETRURIA,1439,4008,4012,-63.1298695711,-32.9096104584
6,77,INSTITUTO SEC. GRAL PAZ,BV.SRMIENTO Y S.NICOLA 390,1474,4003,4007,-63.1298695711,-32.9096104584
6,78,ESC ESTEBAN ECHEVERRIA,GENERAL PAZ 556,1075,4013,4016,-63.2412265291,-32.8021193349
6,79,ESC.PROV. 25 DE MAYO,LA PLAYOSA,2077,4017,4024,-63.1239502009,-32.0402399611
1,7B,ESC MANUEL LUCERO,MANUEL LUCERO 560 B°ALTA  CORDOBA,4710,656,673,-64.1817184877,-31.3910650912
1,7B,ESC PCIA DE ENTRE RIOS,TRAFALGAR 875 B°ALTA  CORDOBA,2853,674,684,-64.1858155865,-31.3865745616
1,7B,INST CORAZON DE MARIA,A DEL VISO 445 B°ALTA  CORDOBA,3411,685,697,-64.1817305958,-31.3946799587
1,7B,INST MANUEL LUCERO,LAVALLEJA 2257 B°ALTA  CORDOBA,2890,710,720,-64.1825063102,-31.3893335917
1,7B,INST NUESTRA MADRE DE LA MERCE,M FRAGUEIRO B°ALTA CORDOBA  2400,3133,698,709,-64.1838432627,-31.3876761612
1,7D,ESC PCIA DE FORMOSA,RODRIGUEZ PEÑA 1548  B°COFICO,1696,732,738,-64.1900353963,-31.396262228
1,7D,ESC PTE SARMIENTO,R SAENZ PEÑA 1212 B°COFICO,2464,722,731,-64.1827791519,-31.4028711998
1,7D,ESC. GARCIA FAURE,JERONIMO LUIS DE CABRERA  834,2196,739,747,-64.1880493567,-31.3962984164
1,7E,ESC HONORATO LACONI,T DE IROBI B°M DE  SOBREMONTE,3842,748,761,-64.1948052255,-31.3638023683
1,7E,ESC PETER PAN,P DE GUZMAN 131 B°M DE  SOBREMONTE,3562,762,775,-64.2041985107,-31.3675165133
1,7E,J DE INF B.RIVADAVIA,NUFLO DE AGUILAR 541,828,776,778,-64.1950139492,-31.3634276218
1,7G,ESC ARTURO CAPDEVILA,AVELLANEDA 4100  B°MFRAGUEIRO,3279,819,830,-64.1869368655,-31.3664559839
1,7G,IPEM 199 "JUAN EMILIO REMONDA",SOSA REVELLO Y 15 DE  SEPTIEMBRE 590,1594,847,852,-64.1822081159,-31.3680140358
1,7G,J DE INF ARTURO CAPDEVILA,AVELLANEDA 4100 B°M  FRAGUEIRO,533,843,844,-64.1869368655,-31.3664559839
6,80,ESC.PROV.J.V.GONZALEZ,9 DE JULIO 350,498,4025,4026,-63.4782867,-32.5423456
6,81,ESC.PROV. ISLAS MALVINAS,RUTA PROV N 158 0,58,4027,4027,-63.2336866602,-32.304504543
6,82,ESC PROV CMTE L PIEDRABUENA,FELIPE LORENZATTI 875,445,4028,4029,-63.4093490688,-32.6122442585
6,83,ESC.PROV.D.F.SARMIENTO,PASCO,896,4030,4033,-63.3405390276,-32.7470387648
6,84,ESC PROV JOSE DE SAN MARTIN,PUBLICA S/N,35,4034,4034,-63.2488296,-32.5277992
6,86,ESC.PROV.M.GUEMES,ANTONIO CONRERO 24,520,4035,4036,-62.9301068,-32.2500413
6,87,ESC. A. CAPDEVILA,TICINO,1523,4037,4042,-63.4346913026,-32.6946644872
6,88,ESC.R.DE ESCALADA,TIO PUJIO,2317,4043,4051,-63.4619536612,-32.2913386262
6,89,CENMA N° 96,SANTA FE 643,2165,4239,4246,-63.2492097782,-32.4129313257
6,89,ESC.COM.A.OCAMPO,CATAMARCA 650,2967,4200,4211,-63.2497537594,-32.4123005653
6,89,ESC.DR. J.BIANCO,BELGRANO 302,3231,4064,4075,-63.2460789279,-32.4178115073
6,89,ESC.J.INGENIEROS,SANTA FE 1271,3275,4226,4238,-63.2434598513,-32.4092898772
6,89,ESC.REP.DEL PARAGUAY,CHILE 565,2747,4076,4085,-63.2452505903,-32.404116566
6,89,ESCUELA J.MARMOL,NAC. UNIDAS 385,2751,4054,4063,-63.2542192683,-32.4130956603
6,89,INST.LA SANTISIMA TRINIDAD,SARSFIELD 1072,7026,4116,4141,-63.2495,-32.4049
6,89,INSTITUTO DEL ROSARIO,BV.ALVEAR 68,7870,4086,4115,-63.1481429,-32.466561795
6,89,INSTITUTO SAN ANTONIO,RUCCI 141,1091,4247,4250,-63.2471,-32.4117
