0527;ALIANZA FRENTE RENOVADOR FEDERAL POR LA ESPERANZA ;ALIANZA FRENTE RENOVADOR FEDERAL POR LA ESPERANZA                                                   ;
0528;ALIANZA FRENTE TERCERA POSICION                   ;ALIANZA FRENTE TERCERA POSICION                                                                     ;
0529;ALIANZA FRENTE UNIDOS                             ;ALIANZA FRENTE UNIDOS                                                                               ;
0530;ALIANZA CAMBIEMOS CHUBUT                          ;ALIANZA CAMBIEMOS CHUBUT                                                                            ;
0531;ALIANZA FRENTE UNION CHUBUT SOMOS TODOS           ;ALIANZA FRENTE UNION CHUBUT SOMOS TODOS                                                             ;
0532;ALIANZA FRENTE CIVICO Y SOCIAL                    ;ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ;
0533;FRENTE CIVICO PARA LA VICTORIA                    ;FRENTE CIVICO PARA LA VICTORIA                                                                      ;
0600;UNION VECINALISTA DIGNIDAD PARA TODOS             ;UNION VECINALISTA DIGNIDAD PARA TODOS                                                               ;
0612;NUEVO ZARATE                                      ;NUEVO ZARATE                                                                                        ;
0616;MOVIMIENTO GENERACIONAL                           ;MOVIMIENTO GENERACIONAL                                                                             ;
0625;MOVIMIENTO SOCIAL PARA UNA MEJOR VIDA             ;MOVIMIENTO SOCIAL PARA UNA MEJOR VIDA                                                               ;
0641;MOVIPRO                                           ;MOVIPRO                                                                                             ;
0647;PROCLAME                                          ;PROCLAME                                                                                            ;
0656;ACCION CIUDADANA                                  ;ACCION CIUDADANA                                                                                    ;
0664;COMPROMISO PRINGLES                               ;COMPROMISO PRINGLES                                                                                 ;
0665;PARTIDO UNION VECINAL PROV.                       ;PARTIDO UNION VECINAL PROV.                                                                         ;
0667;INTEGRACION VECINALISTA ROSALEÑA                  ;INTEGRACION VECINALISTA ROSALEÑA                                                                    ;
0670;C.UNIDAD SOCIAL Y POL. 6 DE DICIEMBRE             ;C.UNIDAD SOCIAL Y POL. 6 DE DICIEMBRE                                                               ;
0672;UNION VECINAL DE ADOLFO GONZALES CHAVES           ;UNION VECINAL DE ADOLFO GONZALES CHAVES                                                             ;
0673;CONSTRUCCION VECINAL PARTICIPATIVA                ;CONSTRUCCION VECINAL PARTICIPATIVA                                                                  ;
0674;RENOVACION PARA JUNIN                             ;RENOVACION PARA JUNIN                                                                               ;
